,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Overall,Overall,Overall,Overall,Overall,Goals,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Assists,Assists,Points,Points,Points,Points,Points,Points,Time on Ice,Time on Ice,Time on Ice,Time on Ice,per 60 All Situations,per 60 All Situations,per 60 All Situations,per 60 Even-Strength,per 60 Even-Strength,per 60 Even-Strength,per 60 Power-Play,per 60 Power-Play,per 60 Power-Play,Shots,Shots,Defensive,Defensive,Faceoffs,Faceoffs,Faceoffs
,Rk,Date,Game,Score,G,A,P,PIM,+/-,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
0,1,2024-03-07,MTL @ CAR,(1-4),0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,20:39,14:35,5:17,0:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0%,0,0,7,15,31.82%
1,2,2024-03-05,MTL @ NSH,(4-3),1,1,2,0,-1,1,0,0,1,1,1,0,0,0,0,2,0,0,1,1,0.0%,19:37,15:50,2:49,0:58,3.059,3.059,6.117,3.789,3.789,7.579,0.0,0.0,0.0,1,100.0%,2,0,11,10,52.38%
2,3,2024-03-02,MTL @ TBL,(3-4),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,23:08,19:01,2:19,1:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,1,1,14,11,56.00%
3,4,2024-02-29,MTL @ FLA,(3-4),1,2,3,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,33.3%,22:16,14:30,5:00,2:46,2.695,5.389,8.084,4.138,4.138,8.276,0.0,12.0,12.0,5,20.0%,1,0,8,12,40.00%
4,5,2024-02-27,ARI @ MTL,(2-4),1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,18:41,17:30,0:00,1:11,3.211,0.0,3.211,3.429,0.0,3.429,0.0,0.0,0.0,2,50.0%,1,1,10,6,62.50%
5,6,2024-02-24,MTL @ NJD,(3-4),2,0,2,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0%,21:33,20:51,0:00,0:42,5.568,0.0,5.568,5.755,0.0,5.755,0.0,0.0,0.0,4,50.0%,2,1,8,12,40.00%
6,7,2024-02-22,MTL @ PIT,(1-4),0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,20:13,15:03,4:11,0:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,0,0,15,10,60.00%
7,8,2024-02-21,BUF @ MTL,(3-2),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,22:12,16:21,5:16,0:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0%,0,0,15,5,75.00%
8,9,2024-02-17,WSH @ MTL,(4-3),1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0%,23:30,19:47,3:43,0:00,2.553,0.0,2.553,0.0,0.0,0.0,16.143,0.0,16.143,4,25.0%,0,0,16,7,69.57%
9,10,2024-02-15,MTL @ NYR,(4-7),0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,21:48,14:56,5:15,1:37,0.0,2.752,2.752,0.0,0.0,0.0,0.0,11.429,11.429,2,0.0%,1,0,10,16,38.46%
10,11,2024-02-13,ANA @ MTL,(0-5),2,1,3,0,1,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,66.7%,22:36,12:15,9:11,1:10,5.31,2.655,7.965,4.898,0.0,4.898,6.534,6.534,13.067,5,40.0%,0,2,7,9,43.75%
11,12,2024-02-11,STL @ MTL,(7-2),1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,20:18,12:28,5:55,1:55,2.956,0.0,2.956,4.813,0.0,4.813,0.0,0.0,0.0,2,50.0%,0,0,11,10,52.38%
12,13,2024-02-10,DAL @ MTL,(3-2),1,1,2,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,25:23,14:51,5:25,5:07,2.364,2.364,4.728,4.04,4.04,8.081,0.0,0.0,0.0,1,100.0%,2,1,9,10,47.37%
13,14,2024-02-06,MTL @ WSH,(5-2),2,1,3,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,33.3%,18:45,16:06,1:51,0:48,6.4,3.2,9.6,7.453,0.0,7.453,0.0,32.432,32.432,3,66.7%,0,0,9,10,47.37%
14,15,2024-01-27,MTL @ PIT,(2-3),0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,21:57,20:49,1:00,0:08,0.0,2.733,2.733,0.0,0.0,0.0,0.0,60.0,60.0,1,0.0%,1,1,10,14,41.67%
15,16,2024-01-25,NYI @ MTL,(3-4),1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,50.0%,20:58,13:00,5:14,2:44,2.862,2.862,5.723,0.0,4.615,4.615,11.465,0.0,11.465,1,100.0%,1,0,5,7,41.67%
16,17,2024-01-23,OTT @ MTL,(4-1),0,1,1,0,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,21:47,15:22,4:46,1:39,0.0,2.754,2.754,0.0,3.905,3.905,0.0,0.0,0.0,2,0.0%,4,0,10,7,58.82%
17,18,2024-01-20,MTL @ BOS,(4-9),0,1,1,2,-2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,20:08,16:01,4:02,0:05,0.0,2.98,2.98,0.0,0.0,0.0,0.0,14.876,14.876,1,0.0%,0,0,5,7,41.67%
18,19,2024-01-18,MTL @ OTT,(2-6),0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,19:48,14:59,4:18,0:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0%,0,0,9,10,47.37%
19,20,2024-01-17,MTL @ NJD,(3-2),0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,20:23,18:30,1:53,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,1,0,5,9,35.71%
20,21,2024-01-15,COL @ MTL,(3-4),0,2,2,0,-2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,100.0%,21:24,19:37,1:47,0:00,0.0,5.607,5.607,0.0,0.0,0.0,0.0,67.29,67.29,4,0.0%,2,1,17,9,65.38%
21,22,2024-01-13,EDM @ MTL,(2-1),0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,22:12,17:27,4:45,0:00,0.0,2.703,2.703,0.0,0.0,0.0,0.0,12.632,12.632,2,0.0%,1,3,10,4,71.43%
22,23,2024-01-11,SJS @ MTL,(3-2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,22:10,20:20,0:18,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0%,2,1,10,14,41.67%
23,24,2024-01-10,MTL @ PHI,(2-3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,21:28,20:08,1:20,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00%,3,0,8,10,44.44%
24,25,2024-01-06,NYR @ MTL,(3-4),0,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,22:09,20:35,1:34,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,2,0,3,5,37.50%
25,26,2024-01-04,BUF @ MTL,(6-1),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,23:18,17:15,5:05,0:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0%,0,0,10,9,52.63%
26,27,2024-01-02,MTL @ DAL,(4-3),1,1,2,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,50.0%,22:32,18:13,3:34,0:45,2.663,2.663,5.325,3.294,0.0,3.294,0.0,16.822,16.822,2,50.0%,2,0,9,11,45.00%
27,28,2023-12-31,MTL @ TBL,(3-4),1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,23:33,22:03,1:28,0:02,2.548,0.0,2.548,2.721,0.0,2.721,0.0,0.0,0.0,1,100.0%,5,0,12,7,63.16%
28,29,2023-12-30,MTL @ FLA,(1-4),0,1,1,2,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,19:15,16:12,2:38,0:25,0.0,3.117,3.117,0.0,0.0,0.0,0.0,22.785,22.785,1,0.0%,1,0,9,5,64.29%
29,30,2023-12-28,MTL @ CAR,(3-5),0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,22:08,16:36,3:36,1:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0%,1,0,7,6,53.85%
30,31,2023-12-22,MTL @ CHI,(5-2),1,1,2,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0.0%,18:11,15:26,1:55,0:50,3.3,3.3,6.599,3.888,3.888,7.775,0.0,0.0,0.0,1,100.0%,1,0,6,5,54.55%
31,32,2023-12-21,MTL @ MIN,(3-4),1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,50.0%,24:17,16:44,5:34,1:59,2.471,2.471,4.942,0.0,3.586,3.586,10.778,0.0,10.778,6,16.7%,1,3,11,5,68.75%
32,33,2023-12-18,MTL @ WPG,(3-2),0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,100.0%,23:48,17:57,4:01,1:50,0.0,2.521,2.521,0.0,0.0,0.0,0.0,14.938,14.938,2,0.0%,0,1,7,6,53.85%
33,34,2023-12-16,NYI @ MTL,(3-5),0,2,2,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0.0%,19:17,17:06,2:11,0:00,0.0,6.223,6.223,0.0,7.018,7.018,0.0,0.0,0.0,6,0.0%,0,0,7,6,53.85%
34,35,2023-12-13,PIT @ MTL,(4-3),0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,26:25,20:32,5:02,0:51,0.0,2.271,2.271,0.0,0.0,0.0,0.0,11.921,11.921,2,0.0%,0,0,8,8,50.00%
35,36,2023-12-10,NSH @ MTL,(2-1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,21:48,17:05,4:43,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0%,0,1,7,5,58.33%
36,37,2023-12-09,MTL @ BUF,(3-2),1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0%,22:26,17:48,4:09,0:29,2.675,0.0,2.675,0.0,0.0,0.0,14.458,0.0,14.458,3,33.3%,1,0,12,6,66.67%
37,38,2023-12-07,LAK @ MTL,(4-0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,20:41,16:09,4:32,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00%,0,0,7,6,53.85%
38,39,2023-12-04,SEA @ MTL,(2-4),0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,100.0%,18:40,17:18,0:58,0:24,0.0,3.214,3.214,0.0,0.0,0.0,0.0,62.069,62.069,4,0.0%,0,0,6,6,50.00%
39,40,2023-12-02,DET @ MTL,(5-4),1,1,2,0,-1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,50.0%,22:17,15:23,5:14,1:40,2.693,2.693,5.385,0.0,3.9,3.9,11.465,0.0,11.465,4,25.0%,1,1,13,4,76.47%
40,41,2023-11-30,FLA @ MTL,(5-1),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,20:51,14:46,5:35,0:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,0,0,7,5,58.33%
41,42,2023-11-29,MTL @ CBJ,(4-2),0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,16:27,16:27,0:00,0:00,0.0,3.647,3.647,0.0,3.647,3.647,0.0,0.0,0.0,3,0.0%,1,0,6,3,66.67%
42,43,2023-11-25,MTL @ LAK,(0-4),0,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,19:09,15:05,4:04,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,0,1,7,4,63.64%
43,44,2023-11-24,MTL @ SJS,(3-2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,21:35,19:27,2:04,0:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,0,0,4,3,57.14%
44,45,2023-11-22,MTL @ ANA,(4-3),0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,21:17,18:05,3:12,0:00,0.0,2.819,2.819,0.0,3.318,3.318,0.0,0.0,0.0,1,0.0%,1,1,5,7,41.67%
45,46,2023-11-18,MTL @ BOS,(2-5),0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0%,18:34,15:18,2:26,0:50,0.0,3.232,3.232,0.0,3.922,3.922,0.0,0.0,0.0,1,0.0%,2,0,13,3,81.25%
46,47,2023-11-16,VGK @ MTL,(6-5),0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,19:55,13:39,3:36,2:40,0.0,6.025,6.025,0.0,8.791,8.791,0.0,0.0,0.0,2,0.0%,0,1,9,5,64.29%
47,48,2023-11-14,CGY @ MTL,(2-1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,20:42,13:55,5:13,1:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0%,1,0,6,8,42.86%
48,49,2023-11-12,VAN @ MTL,(5-2),0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,18:52,17:39,1:13,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0%,1,1,6,4,60.00%
49,50,2023-11-11,BOS @ MTL,(2-3),1,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0%,21:11,16:37,4:34,0:00,2.832,0.0,2.832,0.0,0.0,0.0,13.139,0.0,13.139,1,100.0%,0,1,6,2,75.00%
50,51,2023-11-09,MTL @ DET,(3-2),1,1,2,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,1,1,100.0%,22:32,15:07,5:27,1:58,2.663,2.663,5.325,0.0,0.0,0.0,11.009,11.009,22.018,4,25.0%,1,0,3,10,23.08%
51,52,2023-11-07,TBL @ MTL,(5-3),1,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0%,21:52,13:21,6:50,1:41,2.744,0.0,2.744,0.0,0.0,0.0,8.78,0.0,8.78,3,33.3%,2,0,8,12,40.00%
52,53,2023-11-04,MTL @ STL,(3-6),1,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,18:59,14:53,4:06,0:00,3.161,0.0,3.161,4.031,0.0,4.031,0.0,0.0,0.0,2,50.0%,0,0,9,10,47.37%
53,54,2023-11-02,MTL @ ARI,(2-3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,22:03,15:06,5:06,1:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0%,1,2,12,5,70.59%
54,55,2023-10-30,MTL @ VGK,(2-3),1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,22:26,17:32,4:54,0:00,2.675,0.0,2.675,3.422,0.0,3.422,0.0,0.0,0.0,4,25.0%,0,0,7,7,50.00%
55,56,2023-10-28,WPG @ MTL,(3-4),0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,22:19,20:08,2:03,0:08,0.0,2.689,2.689,0.0,0.0,0.0,0.0,29.268,29.268,1,0.0%,1,0,4,7,36.36%
56,57,2023-10-26,CBJ @ MTL,(3-4),1,2,3,0,1,1,0,0,0,0,1,1,0,1,1,2,1,0,1,1,33.3%,20:31,14:37,5:25,0:29,2.924,5.849,8.773,4.105,4.105,8.21,0.0,11.077,11.077,5,20.0%,1,0,3,6,33.33%
57,58,2023-10-24,NJD @ MTL,(5-2),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,19:58,14:41,3:17,2:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,1,1,10,9,52.63%
58,59,2023-10-23,MTL @ BUF,(3-1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,19:03,13:56,4:33,0:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0%,2,0,3,7,30.00%
59,60,2023-10-21,WSH @ MTL,(2-3),0,2,2,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,50.0%,22:00,15:30,6:14,0:16,0.0,5.455,5.455,0.0,3.871,3.871,0.0,9.626,9.626,3,0.0%,0,1,11,5,68.75%
60,61,2023-10-17,MIN @ MTL,(5-2),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,22:02,11:33,6:07,4:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0%,1,1,6,7,46.15%
61,62,2023-10-14,CHI @ MTL,(2-3),0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,18:50,15:48,2:40,0:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0%,1,1,6,2,75.00%
62,63,2023-10-11,MTL @ TOR,(5-6),0,1,1,2,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0%,21:47,15:58,4:02,1:47,0.0,2.754,2.754,0.0,0.0,0.0,0.0,14.876,14.876,3,0.0%,1,0,11,6,64.71%
